id,nombre,descripcion,created_at
1,sanitarios_alumnos_hombres,Sanitarios exclusivos para el alumnado varón,2018-08-29 0:00:00
2,sanitarios_alumnos_mujeres,Sanitarios exclusivos para el alumnado femenino,2018-08-29 0:00:00
3,sanitarios_administrativos_hombres,Sanitarios exclusivos para el personal masculino administrativo,2018-08-29 0:00:00
4,sanitarios_administrativos_mujeres,Sanitarios exclusivos para el personal femenino administrativo,2018-08-29 0:00:00
5,personal_limpieza,Personas encargadas de la limpieza,2018-08-29 0:00:00
6,cestos_basura,Cestos de basura,2018-08-29 0:00:00
7,numero_aulas,Número de aulas en el plantel,2018-08-29 0:00:00
8,butacas_aula,Butacas por aula,2018-08-29 0:00:00
9,ventanas,Ventanas que pueden abrirse por aula,2018-08-29 0:00:00
10,ventilador,Número de ventiladores en todo el plantel,2018-08-29 0:00:00
11,acondicionado,Número de aires acondicionados en todo el plantel,2018-08-29 0:00:00